participant_id,Age,Gender,Education,Interest,Salary Scale
115,30,Female,0,Technology,Medium_5
116,20,Male,0,Others,Low_2
117,20,Female,0,Unknown,High_5
118,31,Male,0,Unknown,Low_2
119,18,Female,1,Arts,Low_3
120,28,Male,0,Arts,High_5
121,32,Female,1,Technology,Medium_6
122,24,Male,1,Unknown,Low_3
123,25,Male,0,Unknown,Low_2
124,21,Male,0,Others,Low_2
125,23,Male,0,Technology,High_5
126,29,Male,1,Arts,High_5
127,25,Male,1,Arts,High_5
128,35,Male,1,Sports,Low_5
129,23,Male,0,Arts,Low_3
130,22,Male,0,Arts,Low_5
131,23,Female,1,Unknown,Low_2
132,29,Female,1,Sports,High_5
133,21,Female,1,Arts,High_5
134,31,Male,1,Technology,Low_4
135,35,Female,0,Others,Low_2
136,20,Female,1,Unknown,High_5
137,27,Female,1,Others,High_5
138,32,Male,0,Others,Low_3
139,22,Male,0,Arts,Low_2
140,24,Male,0,Unknown,High_5
141,20,Male,0,Unknown,High_5
142,31,Male,0,Arts,Low_3
143,24,Female,0,Arts,Medium_4
144,20,Female,1,Technology,Low_2
145,32,Female,0,Sports,High_2
146,33,Male,0,Arts,Low_4
147,29,Male,1,Technology,High_5
148,25,Male,1,Unknown,Low_2
149,25,Female,0,Technology,Medium_6
150,24,Male,1,Arts,Low_5
151,33,Male,0,Others,Low_5
152,24,Male,1,Others,Low_2
153,24,Male,1,Sports,Low_2
154,22,Female,0,Unknown,Low_3
155,25,Male,0,Arts,Medium_5
156,32,Male,0,Technology,Low_2
157,27,Female,1,Unknown,High_5
158,21,Female,0,Arts,Low_2
159,30,Female,0,Sports,High_5
160,23,Male,0,Unknown,High_5
161,24,Male,0,Others,Medium_5
162,26,Male,1,Arts,High_5
163,28,Male,0,Others,Medium_6
164,26,Male,1,Unknown,High_5
165,19,Male,1,Technology,Low_3
166,26,Female,1,Unknown,High_5
167,31,Female,0,Technology,Low_5
168,21,Female,0,Unknown,High_5
169,24,Female,1,Arts,Low_3
170,30,Male,0,Sports,High_3
171,24,Male,0,Others,Low_2
172,23,Male,1,Others,Low_2
173,23,Female,0,Unknown,High_5
174,28,Male,0,Sports,High_3
175,24,Male,0,Technology,Low_5
176,25,Male,1,Arts,Low_4
177,24,Male,0,Others,Low_5
178,26,Female,1,Arts,High_5
179,29,Male,1,Sports,Low_5
180,27,Male,0,Arts,Low_4
181,30,Male,1,Unknown,High_5
182,24,Female,0,Others,Low_2
183,27,Male,0,Unknown,Low_3
184,35,Male,0,Unknown,Low_5
185,21,Female,1,Unknown,High_5
186,21,Female,0,Unknown,Low_2
187,30,Female,1,Arts,Low_3
188,26,Female,1,Sports,Low_5
189,36,Female,1,Technology,Low_2
190,35,Female,1,Unknown,Low_2
191,24,Male,1,Arts,Low_2
192,30,Female,1,Unknown,Low_3
193,29,Male,0,Unknown,High_5
194,24,Male,0,Unknown,High_5
195,23,Male,1,Sports,Low_2
196,34,Male,0,Unknown,Low_2
197,24,Male,0,Others,Low_2
198,29,Male,0,Unknown,Low_3
199,21,Male,1,Unknown,High_5
200,27,Male,0,Unknown,Low_2
201,32,Female,0,Unknown,Low_3
202,39,Female,1,Sports,Low_5
203,26,Male,1,Unknown,High_5
204,34,Female,0,Technology,High_5
205,21,Male,0,Unknown,High_3
206,34,Male,0,Unknown,Medium_4
207,22,Male,0,Sports,High_5
208,29,Male,1,Technology,Low_5
209,27,Male,0,Others,High_5
210,22,Male,1,Unknown,High_5
211,23,Female,0,Others,Low_2
212,27,Male,0,Arts,Medium_5
213,32,Male,1,Others,Low_2
214,26,Male,0,Unknown,High_4
215,26,Male,0,Technology,Low_2
216,19,Female,0,Arts,Low_2
217,29,Male,0,Arts,Medium_6
218,25,Male,0,Unknown,Low_4
219,37,Female,0,Unknown,Low_2
220,20,Male,1,Unknown,Low_5
221,23,Male,1,Others,Low_2
222,25,Female,1,Sports,High_5
223,20,Male,0,Unknown,Low_5
224,25,Male,1,Technology,Low_2
225,22,Male,0,Technology,Medium_5
226,33,Female,0,Unknown,High_3
227,21,Male,1,Technology,Low_2
228,35,Female,1,Arts,Low_2
229,30,Female,1,Others,Low_3
230,21,Male,0,Technology,High_3
231,28,Female,1,Unknown,High_5
232,26,Female,0,Unknown,Medium_6
233,25,Male,0,Unknown,Low_5
234,20,Male,0,Unknown,High_5
235,25,Female,0,Technology,High_5
236,25,Male,0,Unknown,Low_3
237,20,Female,1,Sports,Low_5
238,31,Male,0,Unknown,Medium_6
239,31,Female,0,Unknown,Low_5
240,27,Male,0,Arts,Low_2
241,21,Female,0,Arts,Low_1
242,22,Male,0,Arts,High_5
243,32,Male,1,Unknown,Low_5
244,27,Female,1,Arts,Low_2
245,28,Male,0,Unknown,Medium_4
246,26,Female,1,Technology,Low_2
247,25,Female,1,Unknown,High_5
248,23,Female,0,Arts,Low_2
249,21,Male,1,Others,Low_2
250,23,Female,0,Others,Low_2
251,31,Male,0,Arts,Low_5
252,26,Female,0,Others,High_2
253,21,Male,0,Unknown,Low_5
254,21,Female,0,Sports,Low_1
255,30,Female,1,Arts,Low_3
256,21,Male,0,Others,Low_5
257,28,Female,0,Unknown,Low_2
258,28,Female,0,Unknown,Low_2
259,29,Male,0,Unknown,Low_2
260,32,Male,0,Sports,Medium_3
261,22,Male,0,Unknown,High_5
262,32,Female,0,Unknown,High_5
263,25,Male,1,Arts,Low_4
264,37,Female,0,Others,Low_2
265,28,Male,0,Unknown,Low_2
266,27,Female,1,Others,Low_4
267,26,Male,0,Unknown,Low_2
268,24,Male,0,Others,Low_1
269,23,Male,0,Others,Low_3
270,25,Female,1,Unknown,Low_2
271,28,Female,0,Sports,Low_2
272,24,Female,1,Others,High_5
273,28,Female,0,Unknown,Low_2
274,24,Male,0,Unknown,Low_5
275,23,Female,0,Unknown,Low_5
276,27,Female,0,Others,Low_4
277,25,Male,1,Unknown,Low_2
278,23,Male,1,Unknown,High_5
279,22,Female,1,Unknown,Low_3
280,25,Male,1,Arts,High_5
281,22,Female,1,Arts,Low_3
282,26,Female,1,Sports,High_5
283,26,Female,0,Sports,Low_2
284,20,Male,1,Unknown,Low_2
285,29,Female,0,Sports,Medium_5
286,26,Female,0,Arts,Low_5
287,26,Male,1,Arts,High_5
288,27,Male,0,Unknown,Medium_4
289,23,Male,0,Sports,Low_2
290,24,Female,0,Unknown,Medium_5
291,27,Male,0,Arts,High_5
292,23,Male,1,Unknown,High_5
293,21,Male,1,Technology,Low_5
294,23,Male,1,Sports,Low_2
295,21,Female,1,Sports,Low_2
296,27,Male,0,Others,Low_2
297,30,Male,0,Sports,Low_5
298,24,Male,0,Arts,Low_3
299,24,Female,1,Unknown,High_5
300,21,Female,0,Arts,High_5
301,24,Female,0,Arts,High_5
302,20,Male,0,Unknown,High_5
303,26,Male,0,Arts,Low_3
304,25,Male,0,Others,Medium_4
305,27,Male,1,Unknown,Low_5
306,25,Male,1,Unknown,Low_2
307,33,Male,1,Others,Low_2
308,27,Female,0,Unknown,Low_2
309,26,Male,0,Others,Low_3
310,34,Female,0,Sports,Low_2
311,38,Male,0,Unknown,Low_5
312,22,Female,0,Arts,High_2
313,26,Male,1,Unknown,Low_5
314,26,Female,0,Arts,Low_2
315,21,Male,0,Unknown,Low_3
316,26,Male,1,Arts,Low_3
317,26,Male,0,Arts,Low_1
318,27,Female,0,Others,Medium_5
319,24,Male,0,Arts,High_5
320,35,Male,0,Arts,Low_5
321,25,Male,0,Arts,Low_2
322,27,Female,1,Sports,High_5
323,22,Female,1,Others,Low_3
324,20,Male,0,Technology,Low_5
325,31,Male,1,Sports,Low_2
326,22,Male,0,Technology,Low_2
327,29,Male,1,Sports,High_4
328,22,Male,0,Unknown,High_5
329,24,Male,0,Arts,High_5
330,28,Female,0,Others,Medium_5
331,20,Female,0,Arts,Low_5
332,25,Male,1,Technology,Low_5
333,21,Male,1,Unknown,Low_2
334,34,Female,1,Unknown,Low_3
335,32,Male,0,Arts,Low_5
336,23,Female,1,Arts,High_5
337,31,Female,0,Technology,High_5
338,25,Male,0,Sports,Low_5
339,24,Male,0,Arts,High_5
340,34,Male,1,Arts,Low_5
341,32,Female,0,Unknown,High_2
342,22,Male,1,Arts,Low_5
343,21,Male,0,Sports,Low_2
344,30,Female,1,Unknown,Low_2
345,33,Male,0,Unknown,Low_1
346,32,Male,1,Others,Low_5
347,21,Male,0,Technology,High_5
348,30,Female,1,Others,Medium_6
349,29,Male,1,Others,Low_3
350,21,Female,0,Unknown,High_3
351,26,Male,0,Technology,Medium_2
352,27,Female,1,Unknown,High_5
353,21,Female,1,Technology,Low_2
354,32,Male,0,Unknown,High_4
355,26,Male,1,Unknown,Low_3
356,31,Female,0,Unknown,Medium_4
357,22,Female,0,Arts,Low_3
358,26,Male,0,Sports,Low_5
359,26,Male,0,Unknown,Low_2
360,28,Male,1,Unknown,Low_2
361,23,Male,0,Others,High_2
362,31,Female,0,Unknown,Low_2
363,22,Male,1,Unknown,Low_5
364,30,Male,0,Arts,Low_3
365,25,Male,0,Sports,Medium_5
366,29,Male,1,Others,Medium_6
367,31,Female,0,Unknown,Medium_5
368,21,Male,0,Technology,Low_2
369,27,Female,0,Unknown,Low_5
370,35,Female,1,Sports,Low_2
371,27,Male,0,Unknown,Low_2
372,21,Male,0,Technology,Low_5
373,32,Male,0,Arts,High_5
374,19,Male,1,Technology,Low_5
375,33,Male,1,Technology,Low_5
376,29,Female,0,Others,Low_5
377,26,Male,0,Unknown,Low_5
378,26,Female,1,Unknown,Low_2
379,25,Male,0,Unknown,Low_2
380,22,Female,1,Unknown,Low_5
381,25,Male,0,Others,High_2
382,22,Female,0,Unknown,Low_3
383,31,Male,0,Unknown,Low_5
384,23,Female,0,Unknown,Low_2
385,25,Male,1,Arts,Low_5
386,32,Male,1,Others,Low_2
387,22,Male,1,Unknown,High_5
388,46,Female,0,Unknown,Low_5
389,26,Female,0,Others,High_3
390,20,Female,1,Others,Low_5
391,28,Female,1,Unknown,Low_3
392,27,Female,0,Unknown,Low_2
393,37,Female,0,Others,High_5
394,25,Male,1,Arts,High_5
395,22,Female,0,Others,High_5
396,24,Female,1,Arts,Medium_4
397,20,Female,0,Arts,High_5
398,28,Male,0,Arts,Medium_4
399,29,Male,1,Unknown,High_5
400,22,Female,1,Arts,High_5
401,22,Male,0,Arts,Low_5
402,28,Female,0,Technology,Low_4
403,25,Male,1,Sports,Low_5
404,28,Female,1,Arts,Low_5
405,22,Female,0,Technology,High_5
406,27,Male,0,Unknown,Low_5
407,21,Male,1,Unknown,Low_5
408,22,Female,1,Arts,Low_2
409,28,Female,1,Technology,Low_2
410,33,Male,0,Arts,Low_1
411,24,Male,0,Technology,Low_4
412,26,Female,0,Others,High_5
413,26,Male,0,Sports,Low_2
414,29,Male,1,Unknown,Low_5
415,23,Female,0,Others,Medium_5
416,29,Female,0,Arts,Low_2
417,19,Female,0,Sports,High_2
418,22,Female,0,Sports,High_3
419,30,Male,0,Technology,Low_2
420,32,Female,0,Arts,High_5
421,27,Male,0,Unknown,Low_2
422,28,Male,1,Unknown,Low_2
423,39,Female,0,Unknown,Low_5
424,32,Female,0,Sports,Medium_5
425,24,Female,0,Arts,High_5
426,44,Male,0,Unknown,Medium_4
427,21,Female,1,Technology,Low_3
428,23,Female,1,Technology,Low_2
429,30,Female,1,Technology,Low_2
430,24,Male,0,Technology,Low_5
431,29,Male,1,Arts,Medium_6
432,23,Male,0,Sports,Low_1
433,25,Male,0,Arts,Low_3
434,36,Male,1,Others,Low_2
435,33,Female,0,Others,Low_2
436,31,Female,0,Unknown,Low_2
437,30,Male,1,Arts,Medium_6
438,27,Female,0,Unknown,Low_2
439,24,Female,1,Unknown,Low_2
440,21,Female,1,Technology,High_5
441,24,Female,1,Technology,Low_2
442,21,Female,0,Unknown,Low_3
443,30,Female,0,Technology,Low_5
444,20,Female,0,Unknown,Low_3
445,22,Male,1,Unknown,Low_5
446,32,Female,1,Unknown,Low_2
447,27,Male,0,Technology,High_5
448,23,Female,1,Arts,High_5
449,23,Female,0,Unknown,Low_2
450,23,Male,1,Arts,Low_3
451,33,Female,0,Arts,Low_5
452,30,Male,1,Others,Low_3
453,22,Male,1,Unknown,Low_2
454,25,Male,0,Unknown,High_5
455,25,Male,0,Arts,Medium_3
456,27,Female,0,Arts,Medium_6
457,27,Male,0,Arts,Low_3
458,28,Male,0,Sports,High_5
459,26,Female,1,Unknown,Low_2
460,23,Male,1,Technology,Low_2
461,21,Female,0,Unknown,High_5
462,27,Male,0,Technology,Low_3
463,25,Male,1,Sports,Low_2
464,21,Female,0,Others,Low_3
465,23,Female,0,Unknown,High_5
466,24,Male,1,Arts,Low_2
467,29,Female,1,Others,Low_2
468,38,Male,1,Technology,Medium_4
469,31,Female,0,Others,Low_3
470,20,Male,0,Others,Low_3
471,31,Female,1,Unknown,High_5
472,32,Female,0,Others,High_5
473,25,Male,1,Unknown,High_5
474,28,Male,1,Others,Low_2
475,28,Female,1,Sports,Low_2
476,23,Male,1,Arts,Low_2
477,20,Female,0,Unknown,High_5
478,21,Female,0,Others,Low_1
479,38,Female,1,Unknown,Low_2
480,21,Female,1,Technology,Low_5
481,20,Female,0,Others,Low_2
482,23,Male,1,Unknown,High_5
483,33,Female,1,Unknown,Low_2
484,35,Male,1,Arts,Low_5
485,20,Male,1,Others,Low_5
486,29,Male,0,Unknown,Low_2
487,20,Female,1,Unknown,Low_2
488,31,Male,0,Unknown,Medium_4
489,31,Female,0,Arts,High_2
490,33,Female,0,Arts,High_5
491,24,Male,1,Unknown,Low_2
492,22,Female,0,Arts,High_2
493,24,Male,1,Others,Low_3
494,22,Male,0,Arts,High_5
495,35,Male,0,Others,Medium_6
496,24,Male,1,Unknown,Low_2
497,28,Male,0,Unknown,Low_5
498,22,Female,1,Technology,High_5
499,24,Female,0,Arts,High_5
500,33,Female,0,Arts,Medium_5
501,30,Male,0,Others,Low_2
502,36,Male,1,Technology,Low_5
503,31,Male,0,Others,Low_4
504,24,Male,0,Technology,Low_4
505,31,Female,0,Technology,Low_3
506,33,Female,0,Unknown,Low_2
507,28,Female,0,Sports,Low_2
508,34,Female,0,Others,Low_5
509,25,Female,0,Arts,Low_2
510,28,Male,1,Unknown,Low_5
511,36,Female,0,Unknown,Low_5
512,36,Male,0,Arts,Low_3
513,19,Male,1,Unknown,High_5
514,29,Female,1,Arts,High_5
515,33,Female,0,Arts,High_2
516,24,Male,0,Arts,High_3
517,30,Male,1,Unknown,Low_2
518,20,Male,1,Unknown,Low_5
519,19,Male,0,Unknown,Low_1
520,22,Female,0,Arts,High_5
521,22,Male,1,Arts,Low_5
522,34,Male,0,Sports,Low_3
523,28,Male,0,Technology,Low_5
524,34,Male,0,Unknown,Low_2
525,28,Female,0,Unknown,Medium_6
526,28,Male,0,Arts,Low_1
527,24,Male,0,Others,High_2
528,20,Female,0,Arts,High_5
529,25,Female,0,Unknown,Low_2
530,22,Male,1,Unknown,Low_3
531,26,Male,1,Technology,Low_4
532,25,Male,0,Unknown,Medium_1
533,25,Male,1,Others,Medium_4
534,23,Female,0,Unknown,High_2
535,31,Female,1,Arts,Low_5
536,32,Male,1,Technology,Low_3
537,27,Female,1,Others,High_5
538,21,Female,1,Unknown,Low_3
539,27,Male,0,Others,Low_2
540,26,Male,0,Technology,Medium_6
541,25,Male,1,Unknown,Low_5
542,23,Male,0,Technology,Low_5
543,25,Male,0,Sports,Low_5
544,21,Male,1,Arts,Low_2
545,23,Female,0,Unknown,Medium_5
546,20,Male,1,Arts,Low_2
547,26,Male,0,Arts,Low_5
548,29,Male,0,Unknown,Low_5
549,34,Female,1,Arts,Low_2
550,28,Male,1,Unknown,Low_2
551,35,Male,0,Technology,Low_5
552,22,Male,1,Unknown,Low_5
553,29,Female,0,Others,Medium_6
554,25,Female,1,Technology,Low_5
555,22,Female,1,Technology,High_5
556,24,Female,0,Technology,Low_3
557,31,Male,0,Arts,High_3
558,25,Female,1,Arts,Low_5
559,21,Male,0,Unknown,High_3
560,30,Female,1,Arts,High_5
561,23,Male,1,Others,Low_5
562,32,Male,0,Unknown,Medium_4
563,20,Male,1,Arts,Low_2
564,19,Female,1,Sports,Low_2
565,27,Male,1,Technology,Low_2
566,25,Male,1,Unknown,Low_2
567,27,Female,1,Arts,High_5
568,24,Male,0,Unknown,Low_2
569,29,Female,0,Unknown,High_5
570,22,Male,1,Unknown,Low_3
571,26,Female,0,Others,Low_2
572,26,Female,1,Technology,Low_3
573,34,Female,0,Unknown,Low_3
574,21,Female,0,Technology,Low_1
575,29,Male,0,Unknown,Low_4
576,22,Male,1,Unknown,Low_5
577,26,Male,0,Arts,Low_2
578,33,Male,0,Sports,Medium_3
579,24,Male,1,Sports,Low_3
580,29,Female,0,Arts,Low_5
581,26,Male,0,Others,Medium_4
582,27,Male,0,Others,High_5
583,28,Male,1,Unknown,Low_3
584,26,Female,1,Technology,High_5
585,40,Male,0,Others,Low_2
586,30,Female,0,Others,Medium_6
587,22,Female,1,Unknown,Low_3
588,23,Male,0,Technology,Low_2
589,36,Male,1,Unknown,Low_2
590,20,Male,0,Technology,Low_5
591,25,Male,0,Unknown,Low_5
592,29,Male,1,Unknown,Low_4
593,26,Female,1,Arts,High_5
594,41,Female,0,Unknown,High_5
595,20,Female,1,Arts,Low_5
596,29,Female,0,Unknown,Low_2
597,32,Male,1,Unknown,Low_5
598,28,Male,1,Unknown,High_5
599,29,Male,0,Others,Low_2
600,23,Female,0,Technology,Low_2
601,25,Female,0,Unknown,Low_4
602,23,Female,1,Unknown,Low_2
603,35,Female,0,Unknown,Low_2
604,28,Male,0,Unknown,Low_2
605,29,Male,0,Others,Medium_5
606,22,Male,1,Unknown,Low_2
607,20,Female,1,Technology,Low_5
608,31,Male,1,Others,High_5
609,31,Male,1,Unknown,Low_3
610,36,Male,0,Unknown,Low_2
611,24,Female,0,Unknown,Low_3
612,25,Male,0,Arts,Medium_6
613,22,Male,0,Arts,Low_5
614,24,Male,1,Unknown,Low_2
615,30,Female,1,Technology,Low_2
616,32,Female,1,Technology,Low_2
617,21,Male,0,Others,High_5
618,27,Female,1,Sports,Low_2
619,23,Female,1,Sports,Low_2
620,28,Male,0,Unknown,Low_3
621,33,Male,0,Technology,Low_2
622,36,Female,1,Unknown,Low_2
623,44,Male,0,Others,High_5
624,22,Female,1,Arts,Low_5
625,31,Female,0,Sports,High_2
626,31,Female,1,Sports,Medium_4
627,27,Male,0,Arts,High_5
628,24,Female,0,Unknown,Low_2
629,28,Male,0,Unknown,High_4
630,34,Female,0,Unknown,High_5
631,25,Male,1,Others,Low_2
632,30,Female,0,Unknown,Low_5
633,29,Female,0,Unknown,Medium_6
634,22,Male,0,Sports,Low_2
635,34,Male,0,Unknown,Low_2
636,27,Male,1,Technology,Low_5
637,24,Female,0,Arts,Low_5
638,23,Female,0,Technology,Medium_5
639,24,Male,0,Arts,Low_2
640,36,Male,1,Unknown,Low_5
641,23,Female,0,Arts,High_5
642,27,Female,0,Unknown,Medium_1
643,26,Male,0,Unknown,High_4
644,31,Male,1,Technology,Low_2
645,22,Female,0,Arts,High_5
646,25,Male,0,Sports,High_3
647,27,Female,0,Sports,Low_2
648,30,Male,1,Unknown,Medium_4
649,25,Female,0,Sports,Medium_6
650,38,Female,0,Technology,High_5
651,20,Male,1,Unknown,Low_2
652,25,Female,0,Arts,Low_2
653,24,Female,0,Technology,High_5
654,19,Male,1,Others,Low_2
655,34,Male,0,Unknown,Low_3
656,25,Male,1,Technology,Low_5
657,37,Female,1,Others,High_5
658,34,Female,0,Others,Low_2
659,23,Female,1,Technology,High_5
660,25,Male,0,Unknown,High_5
661,24,Male,1,Technology,Low_5
662,29,Female,1,Arts,Low_3
663,34,Female,0,Unknown,High_3
664,29,Male,0,Unknown,High_5
665,21,Male,0,Unknown,High_5
666,21,Female,0,Arts,High_5
667,26,Male,1,Arts,High_5
668,21,Male,1,Unknown,Low_2
669,32,Female,0,Technology,Low_1
670,25,Female,0,Arts,High_5
671,22,Female,1,Others,Low_3
672,25,Female,1,Unknown,High_5
673,26,Male,0,Unknown,High_5
674,24,Female,0,Sports,Medium_5
675,30,Male,1,Unknown,Low_3
676,24,Female,1,Sports,High_5
677,27,Female,1,Arts,Low_3
678,24,Female,1,Unknown,Low_2
679,22,Female,0,Others,Low_2
680,21,Female,0,Arts,High_5
681,20,Male,0,Sports,High_5
682,26,Female,0,Sports,Low_5
683,25,Male,1,Others,Low_5
684,26,Female,1,Technology,Low_4
685,29,Female,0,Unknown,Medium_4
686,23,Female,1,Unknown,Low_5
687,23,Male,0,Arts,Low_2
688,31,Female,0,Unknown,High_5
689,23,Male,1,Technology,Low_2
690,21,Female,0,Unknown,Low_2
691,31,Male,0,Arts,Low_5
692,21,Female,1,Unknown,Low_2
693,24,Male,1,Unknown,Low_3
694,38,Male,0,Others,Low_5
695,25,Female,1,Unknown,Low_3
696,30,Female,0,Technology,Low_2
697,25,Female,1,Others,High_5
698,25,Male,0,Unknown,Low_5
699,22,Female,0,Unknown,Low_2
700,29,Female,1,Unknown,Low_2
701,22,Male,0,Technology,Low_5
702,22,Female,0,Unknown,Low_5
703,36,Male,1,Technology,High_5
704,35,Male,0,Unknown,Low_5
705,38,Female,1,Sports,Low_2
706,25,Male,0,Others,High_3
707,32,Female,0,Unknown,High_4
708,26,Male,0,Unknown,Low_5
709,25,Male,1,Arts,High_5
710,42,Female,0,Others,Low_4
711,30,Male,1,Unknown,Low_3
712,22,Male,0,Arts,Low_2
713,26,Male,1,Unknown,Low_5
714,28,Female,0,Unknown,Low_4
715,30,Female,0,Others,Low_3
716,31,Male,0,Arts,Low_2
717,25,Male,0,Unknown,Low_2
718,21,Male,1,Sports,Low_3
719,27,Male,0,Arts,Low_5
720,23,Male,1,Unknown,Low_3
721,26,Female,1,Unknown,High_4
722,23,Female,0,Others,Low_3
723,24,Male,0,Arts,High_5
724,20,Male,1,Technology,Low_2
725,26,Female,1,Others,High_5
726,30,Male,1,Arts,High_5
727,21,Female,1,Unknown,Low_5
728,22,Male,0,Sports,High_3
729,23,Male,0,Technology,Low_5
730,18,Male,0,Sports,Low_1
731,25,Female,0,Unknown,Low_2
732,26,Male,0,Technology,Low_2
733,27,Male,0,Others,Medium_2
734,35,Male,1,Arts,High_5
735,34,Male,1,Unknown,Low_5
736,27,Female,0,Sports,Medium_3
737,26,Male,1,Arts,Low_5
738,24,Male,1,Unknown,Medium_6
739,23,Female,0,Technology,Low_2
740,21,Male,0,Others,Low_3
741,32,Male,1,Technology,High_5
742,22,Male,0,Technology,Low_2
743,30,Female,0,Unknown,High_2
744,22,Male,0,Sports,Low_2
745,24,Female,1,Unknown,High_5
746,22,Female,1,Technology,High_5
747,27,Male,0,Unknown,Medium_6
748,30,Male,0,Technology,Low_3
749,28,Male,1,Others,Low_2
750,23,Female,0,Unknown,High_3
751,20,Male,0,Unknown,Low_5
752,26,Male,0,Technology,Low_3
753,29,Male,0,Others,Medium_5
754,26,Female,1,Unknown,Low_2
755,21,Female,0,Unknown,High_5
756,30,Male,1,Technology,High_5
757,22,Female,0,Unknown,Low_2
758,30,Female,1,Unknown,High_5
759,25,Male,1,Technology,High_5
760,23,Male,1,Technology,Low_3
761,28,Female,0,Unknown,Medium_6
762,27,Male,0,Unknown,Low_2
763,23,Male,0,Sports,Medium_2
764,25,Female,0,Arts,Low_5
765,19,Male,0,Unknown,Low_2
766,24,Male,1,Unknown,Low_3
767,28,Male,0,Technology,High_4
768,36,Female,0,Others,Low_1
769,21,Female,0,Unknown,Low_2
770,23,Male,0,Technology,High_5
771,26,Female,0,Technology,Low_3
772,26,Male,0,Others,Low_2
773,25,Female,0,Arts,Low_5
